,제목,날짜,본문
0,서울시 행정은 카카오톡 '서울톡'에 물어보세요…AI 챗봇 개설,2020.01.31.,서울시는 시정 관련 각종 문의에 24시간 답변하는 인공지능(AI) 상담 챗봇 서비스인 '서울톡'을 내달 1일부터 운영한다고 31일 밝혔다. 시는 지난해 5월부터 '120 상담 챗봇'을 시범 운영 하면서 나온 질문과 답변을 토대로 서울톡의 정확성을 높였다고 설명했다. 서울톡은 카카오톡에서 플러스친구로 등록하면...
1,세탁서 건조까지...AI가 36분만에 '뚝딱',2020.01.31.,삼성전자가 인공지능(AI)를 활용한 개인 맞춤형 세탁기와 건조기를 출시했다. 밀레니얼 세대를 비롯한 다양한 소비자들의 취향을 겨냥한 제품 출시로 가전기기를 통한 ‘경험의 시대’를 만들어 갈 계획이다. 삼성전자는 29일 서울 삼성 디지털프라자 강남 본점에서 세탁기와 건조기 신제품 라인업인 ‘삼성...
2,‘인공지능(AI) 중심도시 광주’ 비전·전략 선포,2020.01.29.,"세계적인 AI 클러스터 조성을 위해 인공지능 집적단지 조성, 데이터센터 구축, AI+ 실증 테스트베드 구축, AI 실증 시범도시 조성, 데이터 산업융합원 설립 등을 추진한다. 집적단지는 향후 5년간 4000억여원의 예산을 투입해 첨단3지구 4만6200㎡ 부지에 조성한다. 광주형 인공지능 비즈니스 생태계 조성..."
3,"한국동서발전, 미세먼지 저감 인공지능 시스템 개발 착수",2020.01.29.,중소벤처기업부의 민관공동 신제품개발 국가 과제로 추진 중인 이번 연구개발은 AI(인공지능) 전문 중소기업 트윔과 조선대 인공지능&빅데이터 연구센터가 수행한다. 이들 연구기관은 당진화력을 대상으로 운영데이터를 분석해 인공지능 기술을 개발하고 실증을 거쳐 국내외에 사업화할 예정이다. 정필식...
4,'인공지능 법·제도 연구 포럼' 출범···AI 국가전략 싱크탱크,2020.01.29.,"인공지능(AI) 시대에 적합한 법·제도 개선 방안을 도출하고 미래 AI 법·제도 방향성을 제시할 포럼이 출범했다. AI 관련 법·제도 이슈와 쟁점을 발굴 및 연구, AI 산업 발전에 기여함은 물론 궁극적으로 AI 강국 실현을 위한 국가전략을 법·제도 측면에서 전방위 지원하는 싱크탱크를 지향한다. 이보다 앞서..."
5,"호남대, 동명대와 'AI·교육혁신' 손잡았다",2020.01.29.,"정홍섭 동명대 총장은 ""양 대학이 링크사업단, S/W중심대학사업단 및 ACE사업단과의 긴밀한 협조 체계를 구축해 AI특성화 및 SW기반 인공지능, 가상·증강현실, 빅데이터, 블록체인 등 AI/SW융합 분야에서 상호 발전해가길 바란다""고 밝혔다. 한편 호남대는 지난해부터 총장 직속으로 AI교육과 마인드 확산의..."
6,"NBP, 문자인식기술 파트너사 모집...AI 사업 본격화",2020.01.29.,있는 인공지능(AI)분야다. NBP의 공식 파트너사로 선정된 기업에게는 ▲네이버 클라우드 플랫폼의 OCR 영업 제안 및 프로젝트 시 파트너 참여 ▲Competency Partner 리스트 등재 ▲네이버 클라우드 플랫폼 전문가들로부터의 개별 교육 및 컨설팅 ▲관련 마케팅 협업 및 언론 홍보 참여 등 혜택이 제공된다....
7,"찍고 또 찍는 MRI, 인공지능 기술로 1회 촬영 효율 개선",2020.01.29.,"국내 연구진이 정확한 진단을 위해 불가피하게 발생하는 ‘자기 공명 영상(Magnetic Resonance Imaging, 이하 MRI)’ 재촬영을 줄일 수 있는 인공지능(AI) 기술이 나왔다. 이 기술이 실제 영상의학과에 적용되면 환자 편의성이 높아짐은 물론 MRI 촬영 비용 부담까지 덜 수 있을 것으로 기대된다. 예종철..."
8,"신한금융, 딥러닝 인공지능(AI) 기반 첫 투자상품 출시",2020.01.31.,신한금융그룹이 지난 28일 국내 금융권 최초로 인공지능(AI) 알고리즘이 적용된 투자상품 2종을 출시했다. 신한금융이 지난 2016년부터 AI 등을 활용한 디지털 혁신을 추진해온 데 따른 첫 결과물이다. 우선 ‘신한 BNPP SHAI 네오(NEO) 자산배분 증권투자신탁’ 은 NEO가 제공하는 마켓 분석 데이터를 기반으로...
9,'인공지능 반도체' 시장 5년 뒤 150조원…절반은 메모리,2020.01.31.,인공지능(AI) 서비스를 구현하기 위해 필요한 반도체 시장의 규모가 5년 후인 2025년엔 150조원대에 달할 것이란 전망이 나왔다. 31일 업계에 따르면 시장조사업체 IHS마킷이 최근 발간한 보고서에서 AI 응용서비스 구현에 필요한 반도체 시장 전세계 매출은 2025년 1289억달러(약 153조2600억원)에 이를...
