Unnamed: 0,제목,날짜,본문
0,"""AI 서비스, 사생활 침해·사회적 차별 없게"" 자율점검표 발표",2021.05.31.,개발·운영 시 단계별 개인정보보호 기준 제시 인공지능(AI) 챗봇 '이루다'와 같은 개인정보 침해 사례의 재발을 막기 위해 AI 서비스 개발자·운영자들이 지켜야 할 사항을 담은 안내서가 마련됐다. 개인정보 보호 정책을 총괄하는 중앙행정기관인 개인정보보호위원회는 업계 의견을 수렴하고 전문가...
1,"[아!이뉴스] 티빙 OTT 1위 '천명'…정부, AI 가이드라인 공개",2021.05.31.,제2의 이루다 인공지능(AI) 사태를 미연에 방지하기 위한 차원이다. 개인정보보호위원회는 산업계의 의견을 충분히 수렴하고 전문가·전체회의 논의 등을 거쳐 만든 'AI 개인정보보호 자율점검표(개발자‧운영자용)'를 31일 발표했다. AI자율점검표는 AI 서비스 개발·운영 시 발생할 수 있는 개인정보 침해를...
2,"‘AI 아버지’ 튜링硏도 출동, AI 미래 찾는다",2021.05.31.,(ALC)에는 인공지능(AI·Artificial Intelligence) 전문가들이 총출동한다. AI는 컴퓨터가 인간처럼 생각하고 학습하고 모방하는 등 스스로 판단하도록 하는... AI는 인류의 미래를 바꾸는 동시에 각종 윤리 문제에도 직면하고 있다. 올해 초 인간과 비슷한 수준의 대화가 가능한 AI 챗봇 ‘이루다’가 소수자...
3,'이루다·딥페이크 사태 막자'…AI가이드라인 제정 '물결',2021.05.31.,개인정보 유출 및 성희롱 등으로 물의를 빚은 스캐터랩의 인공지능(AI) 챗봇 이루다 등을 비롯해 AI가 사회적으로 문제를 주는 사례가 나타나고 있기 때문. 우리나라 정부는 이루다 사태 등 AI의 부정적 영향에 대응하기 위해 지난 13일 '신뢰할 수 있는 AI 실현 전략'을 발표. 구체적으로 오는 2025년까지 기술...
4,"120개 시민단체 ""알고리즘이라고 '모르쇠'? AI 법규 마련해야""",2021.05.24.,보장하는 인공지능(AI) 정책 마련을 정부·국회에 촉구했다. 단체들은 공동선언문을 통해 “인공지능이 서비스나 제품을 추천·제공하는 단계부터 노동... 앞서 차별·혐오발언을 비롯해 무분별한 개인정보 수집 등으로 논란을 일으킨 ‘챗봇 이루다’ 사태가 재발되지 않으려면 법·제도적 정비가 필요하다는...
5,"검색의도 파악하는 네이버 '초거대 AI'…LG도 ""1억弗 투자"" 개발 속도",2021.05.25.,"특히 학계에서는 최근 AI 챗봇 서비스 '이루다' 사태가 데이터 규제를 강화하는 방향으로 흐를까 우려한다. 정책적 모호성이 연구 과정에서의 AI 모델의 경쟁력을 떨어뜨릴 수 있다는 것이다. 고학수 한국인공지능법학회장(서울대 로스쿨 교수)은 ""사실 대규모 언어모델을 만든다고 하면 아무리 비식별..."
6,'제2 이루다 없게'…AI 개발-운영 개인정보보호 자율점검표 마련,2021.05.12.,'사생활 침해·사회적 차별없게 유의' 등 핵심원칙과 단계별 기준 제시 추가 의견 반영·상세 체크리스트 포함해 이달 말 최종 발표 인공지능(AI) 챗봇 '이루다'와 같은 개인정보 침해 사례의 재발을 막기 위해 AI 서비스 개발자·운영자들이 지켜야 할 사항을 모은 'AI 관련 개인정보보호 자율점검표'의 큰 틀이...
7,"'AI챗봇' 이루다 개발사 대표 ""걸림돌 될까 고민 깊어""[김주완의 어쩌다IT]",2021.05.12.,정부가 지난달 인공지능(AI) 챗봇 ‘이루다’ 개발업체에 명확한 동의 없이 개인정보를 무단 사용했다며 1억원이 넘는 벌금을 부과했습니다. 개인정보보호위원회는 이루다를 개발한 스캐터랩이 자사 앱 서비스인 '텍스트앳'과 '연애의 과학'에서 수집한 이용자 60만여명의 카카오톡 대화 문장 94억건을 챗봇...
8,알고리즘·AI에 노조의 접근권 보장한 스페인,2021.05.12.,"신종 노무관리 양식인 알고리즘·AI는 '인간'이 아닌 '기술'의 얼굴을 하고 있기에 객관적·과학적일 것이라 믿기 쉽다. 그러나 인공지능 챗봇 '이루다'가 혐오 발언에 개인정보 유출 문제까지 일으킨 것처럼, 디지털 관리 양식들이 차별과 인권침해에서 결코 자유롭지 않다는 점이 세계적으로 문제가 되고 있다. 이..."
9,"정부, 2025년까지 윤리적인 AI 지원… “‘제2의 이루다' 막는다”",2021.05.12.,"신뢰 확보 기준 마련 등 10대 과제, 단계적으로 추진 정부가 2025년까지 믿을 만한 인공지능(AI) 서비스를 구현할 수 있도록 10대 과제를 추진한다. 이는 혐오·차별 발언과 개인정보 유출 논란으로 물의를 빚은 AI 챗봇(채팅 로봇) ‘이루다’ 사태 재발을 막기 위한 조치다. 과학기술정보통신부는 13일 대통령..."
10,"'이루다 사태'가 남긴 숙제…정부, 'AI 윤리' 실현전략 마련",2021.05.13.,지난 1월 스타트업 스캐터랩이 야심차게 선보인 인공지능(AI) 챗봇 '이루다'. '당신의 첫 AI 친구'라는 캐치프레이즈로 1020 사이에서 인기를 모은 이루다는 서비스 시작 2주만에 각종 논란에 이어 결정적으로 개인정보유출 혐의 등으로 문을 닫았다. 스캐터랩이 이루다를 학습시키는 과정에서 카카오톡 대화를...
11,"""AI 안전하게 이용하도록""…'신뢰할 수 있는 AI 실현전략' 마련",2021.05.13.,4차위 전체회의서 의결…중소기업 지원체계도 권고 최근 성차별과 소수자 차별 논란을 일으킨 인공지능(AI) 챗봇 '이루다' 사태 등 AI의 부정적 영향에 대응하기 위해 '신뢰할 수 있는 인공지능 실현전략'이 마련됐다. 대통령 직속 4차산업혁명위원회는 13일 오후 서울중앙우체국에서 제22차 전체회의를 열고...
12,"[기자수첩] AI+인증, 똑똑함을 평가하진 않는다",2021.05.13.,최근 눈길을 끄는 건 한국표준협회(표준협회)의 ‘AI+(인공지능 플러스) 인증’이다. 이는 와이즈스톤과 한국표준협회(KSA)가 공동으로 개발한 AI... 이영석 와이즈스톤 대표는 올해 초 AI윤리 논란을 일으켰던 ‘이루다’를 언급하면서 “데이터를 학습한 AI에 사전 테스트나 데이터 정제·선별 등 품질 확인...
