Unnamed: 0,제목,날짜,본문
0,"""AI 서비스, 사생활 침해·사회적 차별 없게"" 자율점검표 발표",2021.05.31.,"자율점검표)는 인공지능 설계·개발·운영 과정에서 개인정보를 안전하게 처리하기 위해 지켜야 할 개인정보보호법 상의 주요 의무와 권장사항을 단계별로 자율점검할 수 있도록 알기 쉽게 정리한 안내서다. AI 자율점검표는 개인정보보호법과 과학기술정보통신부의 AI 윤리기준, 개인정보보호 중심설계..."
1,"[아!이뉴스] 티빙 OTT 1위 '천명'…정부, AI 가이드라인 공개",2021.05.31.,"점검표는 ▲대규모 데이터의 처리 ▲복잡성·불투명성 ▲자동화·불확실성 등 인공지능의 개인정보 처리 특성을 고려해 만들어졌다. 또 개인정보 보호법, AI 윤리기준, 국제적으로 통용되는 개인정보보호 중심설계 원칙 등을 반영했다. 업무처리 단계별(8단계) 주요 점검항목은 ▲기획·설계 ▲개인정보..."
2,"위급할 때 ""살려줘"" 한 마디면…어르신 지키는 AI '수호천사'",2021.05.31.,네이버도 지난 3월 서울대학교와 함께 마련한 '인공지능(AI) 윤리 준칙'으로 △사람을 위한 AI 개발 △다양성의 존중 △합리적인 설명과 편리성의 조화 △안전을 고려한 서비스 설계 △프라이버시 보호와 정보 보안 등 5가지 가치를 제시했다. AI가 혁명적 수준의 삶의 질을 개선하는 기술이지만 불완전한...
3,"‘AI 아버지’ 튜링硏도 출동, AI 미래 찾는다",2021.05.31.,(ALC)에는 인공지능(AI·Artificial Intelligence) 전문가들이 총출동한다. AI는 컴퓨터가 인간처럼 생각하고 학습하고 모방하는 등 스스로 판단하도록 하는... 측은 “AI와 빅데이터가 최적의 의료 서비스를 제공해 건강을 혁신적으로 개선할 것”이라고 밝혔다. AI는 인류의 미래를 바꾸는 동시에 각종 윤리...
4,"""AI 편향성 문제, 윤리적·법적 판단에 앞서 기술적 해결책 고민해야…""",2021.05.26.,지난 25일 열린 AI 편향성 검증 교육 현장 [사진=씽크포비엘] 인공지능(AI) 편향과 데이터 샘플링 오류 문제의 기술적 해결방안을 제시한 교육이 국내... 최근 사회문제로 확대된 AI 편향성 논란을 놓고 윤리적·법적 해결논의가 활한 가운데 기술적 접근을 통한 해결이 필요하다는 주장이 업계 일각에서...
6,"""보험산업 AI 활용...윤리 문제에 관심가져야""",2021.05.26.,"보험은 소비자 이해관계가 첨예한 분야로, AI(인공지능) 윤리문제 발생시 더 큰 영향을 받을 수 있다는 진단이 나왔다. 보험산업 AI 윤리기준이 엄격한 데이터 관리에서 시작되고, 인간 보편적인 윤리기준에 부합하도록 제정돼야 한다는 분석이다. 김규동 보험연구원 연구위원은 26일 보험연구원이 '코리아..."
7,[AI교육 선도학교] 군포초등학교,2021.05.26.,AI 활용교육) ▶N:New Attitude(AI 가치교육) ▶P:Project(AI 프로젝트교육) ▶O:Outspread(AI 확산교육)으로 구성됐다. 각 주제별로 ▶SW·AI 인식 ▶정보통신윤리... 또 '군포 AI MAPS를 따라 인공지능의 세계로!'를 주제로 한 AI 데이터 리터리시 교육을 통해 실생활과 연계된 탐구 중심의 통계수업 및 SW와 AI 속 데이터...
8,"[IT돋보기] ""AI도 차별한다""…'기업 AI 윤리' 실상은?",2021.05.25.,"[편집자주] 전세계적으로 인공지능(AI)의 차별과 편향성 문제가 불거지고 있다. 이에 따라 각 국 정부와 기업은 'AI 윤리 기준' 도입에 골몰하고 있다. 다만, 업계에서는 산업이 초기 발전 단계인만큼 기업들의 자율규제가 우선돼야 한다는 주장이다. 또한 국내에서는 AI 챗봇인 '이루다 AI' 사태를 계기로 관련..."
9,"SKT, ‘이사회 중심 경영’ 강화… 'AI 컨트롤타워' 가동",2021.05.26.,"뉴데일리 신희강 기자 = SK텔레콤이 ‘이사회 중심 경영’을 강화하고, 인공지능(AI) 확산을 위한 태스크포스(TF) 가동에 나섰다. 27일 SK텔레콤에... 감사위원회는 기존의 회계 감사, 컴플라이언스(Compliance, 준법감시) 업무에 자체 경영진단, 윤리감사 등의 역할을 확대한다. 업무의 독립성과 공정성을 위해..."
10,"""AI로 국부 키워야...교육 혁명 필요""",2021.05.27.,"4차산업혁명과 인공지능(AI)은 산업, 사회, 경제 전반에 큰 변화를 일으키며 새로운 게임체인저로 부상했다. 미래 기술 패권은 4차산업혁명과 AI를... 이렇게 되면 저출산과 노령화 문제를 동시에 해결할 수 있지 않을까 한다."" -AI로 돌아가 AI윤리 이야기를 해보자. 마이다스도 AI에 기반한 역량 솔루션을..."
