Unnamed: 0,제목,날짜,본문
0,"부자학생에 '고학점' 주는 AI…전문가들 ""인권영향평가 도입해야""",2022.08.26.,"영국 정부는 인공지능(AI) 시스템을 통해 학생들에게 학점을 부여했다. 문제는 공립학교 학생들과 사립학교에 다니는 부유층 학생들 간 학점이 큰... 국내에서도 2019년 KT AI 스피커 '기가지니'의 성차별, 2020년 AI 챗봇 '이루다'의 혐오 발언 등 인권 침해 사례가 이어지며 관련 제도가 필요하다는 목소리가..."
1,제2 이루다 사태 NO…민관 첫 개별 기업 AI 윤리점검표 나왔다,2022.08.26.,위해 인공지능(AI) 챗봇 서비스 '이루다' 개발사인 스캐터랩이 자사의 'AI 윤리점검표'를 공개했다. 개별 기업에 특화돼 민관이 처음으로 함께 만든 'AI 윤리점검표 1호'로 AI 서비스를 개발하고 있는 다른 기업들이 참고하기에 유용할 것으로 전망된다. 앞서 지난 2020년 12월 말 소개된 20대 여대생으로 설정된 AI...
2,'이루다'가 남긴 숙제…AI 기업·정부 모여 고민·경험 공유,2022.08.26.,"스캐터랩은 친구처럼 일상적인 대화를 나눌 수 있는 관계 지향형 인공지능 챗봇 '이루다 2.0'의 오픈 베타 테스트를 진행 중이다. 알체라의 조민국 연구소장은 AI 기반 산불 감지 솔루션의 기술적 신뢰성 검증 결과를 발표했다. 알체라는 영상인식 기술 등을 활용해 이상 상황 감지 솔루션, 신원 인식 솔루션..."
3,"'제2 이루다 사태 막는다'…LG, AI윤리 5대 원칙 만들었다",2022.08.26.,"지난 2020년 12월 말 소개된 AI챗봇 ‘이루다’는 공개와 동시에 폭발적 인기를 끌었으나 성희롱·혐오 발언, 개인정보 유출 등 논란에 20여일 만에... LG의 인공지능(AI) 아티스트 ‘틸다’ ◇“AI 성별, 나이, 장애 등으로 부당한 차별 안 해” 5대 가치에는 AI가 인간의 자율성과 존엄성과 같은 권리를..."
4,"[과기정통 뉴스] AI윤리정책 포럼…스캐터랩, 챗봇 윤리점검표 공유 外",2022.08.26.,"스캐터랩은 2020년 12월 과기정통부와 KISDI가 발표한 '사람이 중심이 되는 인공지능 윤리기준'을 바탕으로 AI 챗봇을 기획, 개발, 운영할 때 지켜야 할 규범 21가지를 점검표 형태로 선정했다. 앞서 스캐터랩은 AI 챗봇 '이루다'를 2020년 12월 23일 출시했으나, 일부 이용자들의 성적(性的) 접근 시도, 개인정보 유출..."
5,"과기정통부, 제3차 AI 윤리정책 토론회 개최",2022.08.26.,이번에 공개된 '스캐터랩 AI 챗봇 윤리점검표' 최종안에는 스캐터랩이 이루다를 기획·개발·운영하는 전 과정에서 기업 윤리를 실현하기 위한 점검 항목을 담았다. 스캐터랩의 'AI 챗봇 윤리 준칙'을 과기정통부의 'AI 윤리기준' 10대 핵심 요건에 따라 구체화한 질문을 제시했다. 정부의 '인공지능 국가전략'에...
6,'제2 이루다 사태' 막는다…LG·카카오 'AI윤리' 바로 세우기 앞장,2022.08.26.,"2년 전 장애인에 대한 혐오 발언으로 논란을 빚은 인공지능 챗봇 '이루다 사태', 기억나시나요? 우리 사회에 AI윤리 기준이 필요하다는 경종을 울린 사건이었는데요. 최근 LG와 카카오 등 기업들이 AI윤리 규범 세우기에 나섰습니다. 고진경 기자입니다. 【 기자 】 지난 2020년 12월 말 소개된 AI챗봇 '이루다..."
7,개인정보 침해 문제 해결한 AI 반도체 개발,2022.08.26.,"인공지능 챗봇 '이루다'가 학습에 사용한 데이터에 포함된 실제 주소를 대화 중 노출한 것이 대표적 사례다. 차등 프라이버시는 이 같은 일을 막을 수 있어 애플, 구글, 마이크로소프트 등에서도 쓰이고 있다. 그러나 AI 서비스에 차등 프라이버시를 적용하면 데이터와 노이즈가 섞이며 속도와 성능이..."
8,"[주간 IT] ""제2의 이루다는 없다""…보안성 높인 AI반도체 등장",2022.08.24.,몇 년전 인터넷을 뜨겁게 달군 AI(인공지능) 챗봇 '이루다'를 기억하는가. 사람과 대화하듯 생생한 실재감을 전달해 출시 초기 뜨거운 관심을 받았다. 하지만 장애인·성소수자 혐오 논란이 불거지면서 오래지 않아 폐지 수순까지 이어진 업계 '흑역사' 중 하나다. 윤리적 문제 뿐이라면 차라리 다행이다....
9,"‘제 2의 이루다 사태 ’ 안돼…진화한 AI, 혐오 표현 순화 나서",2022.08.26.,홍어는 절대 안 됩니다.” 네이버의 스타트업 투자 조직인 D2SF가 투자한 인공지능(AI) 스타트업 튜닙이 새로 선보인 ‘윤리성 판별’ AI 기능에 15일... 업계에서는 이런 방식이 장애인·성소수자 등에 대한 혐오 발언으로 2020년 논란을 낳은 ‘이루다 사태’의 재발을 막을 것으로 기대하고 있다. 국제미래학회...
