Unnamed: 0,제목,날짜,본문
0,"IAAE, 서울디지털재단과 <AI 서울포럼 2022> 개최",2022.08.31.,"중앙대학교 HK+인공지능인문학단 김형주 교수는 칸트(KANT)의 관점으로 AI 윤리 방향을 소개하였으며, 인공지능이 하는 윤리가 아닌 AI를 다루는 시민의 윤리적 함양이 필요하다고 설명했습니다. 서울디지털재단 강요식 이사장은 “이번 포럼은 서울의 디지털 전환에 발맞춰 국내 연합학습, 인공지능 윤리..."
1,"'바이오' 관련주 다수 보유한 백경란, 윤리의식 지적에 ""처분하겠다""",2022.08.31.,백경란 질병관리청장이 바이오 관련 주식 보유에 대해 공직자로서의 윤리의식이 부족하다는 지적을 받자 주식 처분을 약속했다. 30일 열린 국회... 인공지능(AI) 신약·유전체 빅데이터 플랫폼 사업을 하는 신테카바이오의 보유평가액은 지난 25일 종가 기준 3000만 원을 넘어 직무 관련성이 있다면 백지신탁...
2,"서울시, 인공지능 포럼 개최…“AI 서비스 방향 모색”",2022.08.31.,"강요식 서울디지털재단 이사장은 “이번 포럼은 서울의 디지털 전환에 발맞춰 국내 연합학습, 인공지능 윤리 분야 최고 전문가가 모여 서울시의 AI 공공서비스 방향과 인공지능 윤리의 중요성을 모색하는 뜻깊은 자리였다”며 “서울디지털재단은 디지털 생태계를 리딩하는 스마트 서울의 컨트롤..."
3,"인공지능 챗봇 심심이, AI 데이터 공개",2022.08.30.,인공지능(AI) 챗봇 심심이(대표 최정회)가 인간 중심의 대규모 AI 데이터(Human-Centered AI Data)를 전격 공개한다고 밝혔다. 심심이는 여러 데이터 중 인간... 마지막으로 10중맹검 윤리검수문장 데이터를 꼽을 수 있다. 이는 일반 사용자들이 맹검 도구 내에서 콘텐츠 규정 위반 여부를 검수해 점수를 부착해 둔...
4,"엘리스, 초중고 교육용 'AI콘텐츠 제작' 사업 수주",2022.08.30.,위한 '인공지능(AI) 교육 디지털 콘텐츠 제작' 사업을 수주했다고 30일 밝혔다. 인공지능 교육 디지털 콘텐츠 제작 사업은 초·중·고 학교 현장에 적용할 수 있는 인공지능 콘텐츠 개발을 목적으로 마련된 사업이다. 엘리스는 초중고 대상 코딩 교육 스타트업 디랩과 함께 기본 개념과 윤리 교육부터 데이터...
5,LG AI 윤리원칙 발표,2022.08.30.,LG가 AI(인공지능) 기술이 급속히 발전하는 과정에서 발생할 수 있는 윤리적 문제를 사전에 검증하기 위한 인공지능(AI) 윤리 원칙을 발표했다. LG는 24일 “‘고객을 위한 가치 창조’와 ‘인간 존중의 경영’이라는 LG 경영 이념을 고려해 5대 핵심 가치를 선정했다”고 밝혔다. LG는 인간 존중...
6,제2 이루다 사태 NO…민관 첫 개별 기업 AI 윤리점검표 나왔다,2022.08.30.,"과기정통부 엄열 국장은 ""혁신을 저해하지 않으면서 국민이 믿고 이용할 수 있는 AI 제품·서비스를 개발하기 위해서는 기업 스스로의 AI 윤리를 실천하고자 하는 노력이 중요하다""면서 ""AI 기술 수준, 인공지능 윤리 관련 국내외 동향, 이해관계자의 목소리 등을 종합적으로 고려해 현장에서 공감할 수 있는..."
7,"""AI공유 시대 온다···AI에서도 분업과 대량생산 일어나""",2022.08.30.,"■ 강요식 서울디지털재단 이사장 ""세계는 멈추지 않고 진보...ICT 중요"" 행사에는 이경전 교수와 이정혜 교수 외에 김성륜 연세대 교수가 '무선 기반 AI에서 페더레이션/스플리트 설계'를 주제로 강연을 했고, 전창배 국제인공지능&윤리협회 이사장이 '인공지능 윤리, 왜 중요한가? 어떻게 해결할 것인가?..."
8,[신간] AI가 인간에게 묻다,2022.08.31.,"아닌 AI 관점에서의 질문이 필요하다고 느꼈다. 경제, 산업, 경영, 기술, 문화, 윤리, 공공서비스(정책) 각 분야에서 AI가 가져올 변화를 조망하고... 장병탁 서울대학교 컴퓨터공학부 POSCO 석좌 교수, 인지과학·뇌과학·인공지능 협동과정 겸임 교수이자 서울대 AI연구원AIIS 원장. MIT 인공지능연구소CSAIL..."
9,"과기정통부, 3차 AI윤리정책 포럼…'이루다' 등 경험 공유",2022.08.31.,"과학기술정보통신부(과기정통부)는 정보통신정책연구원(KISDI), 한국정보통신기술협회(TTA)와 26일 서울 중구 포스트타워에서 제3차 인공지능(AI) 윤리정책 포럼을 개최했다고 밝혔다. 포럼은 AI의 윤리적 개발과 활용을 위한 논의를 촉진하기 위해 지난 2월 출범했다. 산업계를 비롯해 AI, 윤리, 교육, 법제도..."
10,"경기교육청, '인공지능 윤리교육' 교재 개발·보급",2022.08.23.,"경기도교육청은 인공지능(AI) 윤리교육을 위한 교재 'AI원리로 배우는 AI윤리'를 개발해 보급했다고 23일 밝혔다. 도내 초·중등 교원 22명이 연구·개발에 참여한 이번 교재에는 초·중등 수업자료 60편과 전문가 기고문이 담겼다. 수업자료의 주요 내용은 인공지능 윤리원칙 수립, 인공지능 오남용 예방..."
11,"서울대 등 국내 주요 대학, 학습윤리 개선하려 LMS 연동형 표절검사 서비스 ‘...",2022.08.23.,이미지 무하유 제공 자연어를 이해하는 실용 인공지능(AI) 기술 기업 ㈜무하유(대표 신동호)는 국내 주요 대학들이 학습윤리 개선을 위해 자사의 학습관리시스템(LMS) 연동형 표절검사 서비스 ‘CK 브릿지(카피킬러 브릿지)’를 도입하고 있다고 밝혔다. 무하유는 2011년 논문 표절 검사 솔루션 ‘카피킬러’를...
12,LG ‘AI 윤리원칙’ 세웠다,2022.08.23.,LG(003550)가 24일 인간 존중 등 5대 핵심 가치를 담은 인공지능(AI) 윤리 원칙을 발표했다. 구광모(사진) LG그룹 회장의 인간 존중 정신을 경영에 반영한 것이다. LG가 공표한 5대 핵심 가치는 △AI가 인간의 자율성·존엄성과 같은 권리를 침해하지 않아야 한다는 ‘인간 존중’ △AI가 성별이나 나이...
13,"경기도교육청, 인공지능 윤리교육 자료 개발 보급",2022.08.23.,"경기도교육청은 인공지능(AI) 윤리교육 자료인 ‘AI원리로 배우는 AI윤리’를 개발해 일선학교에 보급했다고 24일 밝혔다. 자료는 인공지능에 대한 학생들의 인식을 확대하고 올바른 인공지능 활용 방법 학습을 위해 개발했으며, 도내 초·중등 교원 22명이 연구·개발에 참여했다. 자료에는 초·중등 수업자료..."
14,"[과기정통 뉴스] AI윤리정책 포럼…스캐터랩, 챗봇 윤리점검표 공유 外",2022.08.31.,"◆과기정통부, AI윤리정책 포럼…스캐터랩, 챗봇 윤리점검표 공유 과학기술정보통신부는 정보통신정책연구원(KISDI), 한국정보통신기술협회(TTA)와 26일 서울 중구 포스트타워에서 제3차 인공지능(AI) 윤리정책 포럼을 개최했다고 밝혔다. 포럼은 AI의 윤리적 개발과 활용을 위한 논의를 촉진하기 위해 지난 2월..."
15,“×× 같이 생겨서” AI 막말 거른다,2022.08.31.,"LG그룹이 인간존중·공정성·안전성·책임성·투명성 등 5대 핵심 가치를 담은 인공지능(AI) 윤리원칙을 24일 발표했다. LG는 초거대 AI ‘엑사원’으로 구현한 아티스트 틸다를 통해 관련 생태계를 확장하고 있다. 이날 LG가 제시한 5대 원칙엔 AI가 인간의 자율·존엄을 침해하지 않아야 하고, 성별·나이·장애..."
16,발전소 짓고 윤리원칙 만들고…가전업계 ESG 경영 속도,2022.08.24.,29일 가전업계에 따르면 LG는 지난 24일 '인공지능(AI) 윤리원칙'을 발표하면서 ESG 경영 실천의 보폭을 넓히겠다고 강조했다. LG는 'AI 윤리원칙' 5대 핵심 가치로 △인간존중 △공정성 △안전성 △책임성 △투명성 등이다. 아울러 'LG AI연구원'은 'AI 윤리원칙'의 중요성을 알리고 실제 업무에 적용하는...
