Unnamed: 0,제목,날짜,본문
0,챗봇 ‘이루다’가 불지핀 AI 윤리 논란…정책 세미나 개최,2021.01.31.,과학기술정보통신부와 정보통신정책연구원(KISDI)은 다음달 2일 서울 서초구 더케이호텔에서 ‘사람 중심의 인공지능(AI)을 위한 AI 윤리 정책 세미나’를 연다고 31일 밝혔다. 주제는 ‘사람중심 AI 구현을 위한 도전과 과제’다. 최근 여성과 성 소수자 등 사회적 약자를 대상으로 혐오 발언을 한 AI 챗봇...
1,"마이다스인, 'AI역량검사 백서' 공개",2021.01.31.,인공지능(AI) 역량검사 개발사 마이다스인이 업계 처음으로 'AI백서'를 내놓는다. 공정한 AI 서비스 개발을 위한 행동강령도 제정한다. AI 역량검사 기술... 몇몇 기업이 AI 관련 윤리 가이드라인 등을 내놓았지만 서비스 세부 사항을 백서 형태로 공개하는 것은 마이다스인이 처음이다. 마이다스인 관계자는 31일...
2,"'이루다' 사태 규제 강화 이어지나...관련 협회들, ""AI 인증제 등 통해 회원사...",2021.01.31.,"◆AI 관련 협회들, ""법·강제적 규제보다 협회 등 민간 자율 규제가 바람직"" 한국인공지능협회, 한국인공지능윤리협회 등 AI 관련 협회들은 법이나 강제적인 규제보다는 AI 인증제도 등을 통해 올해 회원사들이 자체적으로 AI 윤리를 준수할 수 있도록 유도하겠다는 입장이다. 500여개 회원사를 보유한..."
3,"로봇 권위자 데니스 홍·AI 권위자 한보형 교수, KT 미래에 합류",2021.01.31.,"한 교수는 인공지능 최신 기술 연구개발 및 딥러닝 연구, AI와 기계학습과 관련해 사회적·윤리적 이슈를 해결할 수 있는 기술개발 방향에 대한 자문역을 담당한다. 한 교수는 KT가 글로벌 AI Top Tier 기업으로 도약할 수 있도록 하며, KT가 4차 산업혁명 시대를 주도해나가는 기업으로 성장할 수..."
4,AI 개인정보 보호수칙 마련…'이루다 재발' 막는다,2021.01.25.,"최영진 개인정보보호위원회 부위원장 우선 지난해 말 과학기술정보통신부가 발표한 &apos;인공지능 윤리기준&apos;과 AI 관련 최근 이슈들을 반영해 이달 말까지 수칙 초안을 만든다. 이후 다음달 중 산업계 및 전문가 의견수렴을 거쳐 3월 수칙을 발표한다는 계획이다. 해당 수칙은 AI 서비스 개발자, 제공자..."
5,"'AI·로봇'에 승부 건 KT, 인재 영입…""AI 일류 목표""",2021.01.25.,"한보형 교수는 인공지능 최신 기술 연구개발 및 딥러닝 연구, AI와 기계학습과 관련해 사회적·윤리적 이슈를 해결할 수 있는 기술개발 방향에 대한 자문역을 담당한다. KT의 이번 인재 영입의 키워드는 ‘혁신성’이다. KT는 역사상 최초로 1980년대생 연구소장을 발탁해 혁신과 창의성을 겸비한..."
6,KT의 AI인재 영입,2021.01.25.,"2018년 구글이 선정한 ‘AI 집중연구어워즈’를 수상한 한 교수는 AI 최신 기술 연구개발과 딥러닝 연구, 기계 학습과 관련해 사회적·윤리적 이슈를 해결할 수 있는 기술 개발 방향에 대한 자문역을 담당한다. 배 소장은 인간의 시각적 인식 능력을 재현한 인공지능인 비전 AI 전문가로 미국 MIT에서 석..."
7,"""공존의 시대"" 국내 최초 AI 버라이어티쇼 'AI vs 인간', 9개월의 기록들[종합...",2021.01.25.,‘AI vs 인간’은 인공지능(AI)과 인간 최고수가 세기의 진검 승부를 펼치는 국내 최초 AI 버라이어티쇼다. 남상문PD는 “2016년 알파고 대결이 있었다. 그... 그러나 이제는 공존을 생각해야 할 때가 오지 않았나 싶다”며 “최근 이루다 사건도 그렇지만 개발하는 사람들의 윤리적 고민 필요하다. 활용하는...
8,"""AI·빅데이터로 인류문제 해결…백신접종도 여기 달렸다""",2021.01.25.,"'4차산업혁명·AI리더십' 세션 스미스 MS사장 ""AI 활용해 세계 백신접종 시스템 구축"" 보건·기후변화·탄소절감… AI, 엄청난 규모 데이터 분석 새로운 시장·산업 만들어 해결 ""AI 언제든 무기가 될수있어 윤리적 기술 되도록 관리를"" ◆ 다보스 어젠다 2021 ◆ ""우리는 이미 인공지능(AI)이 현실 세계에 적용된..."
9,"AI(인공지능) 윤리 논란, 어떻게 바라볼까",2021.01.25.,"특히 지난해 교황청 생명학술원이 발표한 ‘인공지능(AI) 윤리를 위한 로마선언’(Rome Call for AI Ethics, 이하 로마선언)은 “우리 공동의 집과 그 안에 사는 인간의 선을 위해 AI가 발달하도록 하는 시각을 보장해야 함”을 역설하고 있다. AI가 단순히 능력 향상과 효율을 위해서만 수행되는 것이 아니라..."
