Unnamed: 0,제목,날짜,본문
0,"""AI 서비스, 사생활 침해·사회적 차별 없게"" 자율점검표 발표",2021.05.31.,"자율점검표)는 인공지능 설계·개발·운영 과정에서 개인정보를 안전하게 처리하기 위해 지켜야 할 개인정보보호법 상의 주요 의무와 권장사항을 단계별로 자율점검할 수 있도록 알기 쉽게 정리한 안내서다. AI 자율점검표는 개인정보보호법과 과학기술정보통신부의 AI 윤리기준, 개인정보보호 중심설계..."
1,"[아!이뉴스] 티빙 OTT 1위 '천명'…정부, AI 가이드라인 공개",2021.05.31.,"등 인공지능의 개인정보 처리 특성을 고려해 만들어졌다. 또 개인정보 보호법, AI 윤리기준, 국제적으로 통용되는 개인정보보호 중심설계 원칙 등을... 점검표가 AI 분야 현장에서 널리 활용될 수 있도록 적극적인 홍보와 함께 6월 초부터 AI 스타트업 대상 설명회를 개최하고 중소기업 컨설팅·교육 등에도..."
2,"위급할 때 ""살려줘"" 한 마디면…어르신 지키는 AI '수호천사'",2021.05.31.,"지난해 8월 경남 의령군에선 고열과 가슴통증을 느낀 80대 어르신이 평소 교육받은 대로 AI 스피커에 대고 ""살려줘""라고 외치자 119 구급대가 도착해... 네이버도 지난 3월 서울대학교와 함께 마련한 '인공지능(AI) 윤리 준칙'으로 △사람을 위한 AI 개발 △다양성의 존중 △합리적인 설명과 편리성의 조화..."
3,[AI교육 선도학교] 군포초등학교,2021.05.31.,"기호일보, KIHOILBO ""컴퓨터 활용 능력이 뛰어나지 않아 처음에는 AI(Artificial Intelligence·인공지능)교육이 어렵게만 느껴졌었는데 배우다 보니 정말... AI 활용교육) ▶N:New Attitude(AI 가치교육) ▶P:Project(AI 프로젝트교육) ▶O:Outspread(AI 확산교육)으로 구성됐다. 각 주제별로 ▶SW·AI 인식 ▶정보통신윤리교육..."
4,"""AI 편향성 문제, 윤리적·법적 판단에 앞서 기술적 해결책 고민해야…""",2021.05.27.,지난 25일 열린 AI 편향성 검증 교육 현장 [사진=씽크포비엘] 인공지능(AI) 편향과 데이터 샘플링 오류 문제의 기술적 해결방안을 제시한 교육이 국내... 최근 사회문제로 확대된 AI 편향성 논란을 놓고 윤리적·법적 해결논의가 활한 가운데 기술적 접근을 통한 해결이 필요하다는 주장이 업계 일각에서...
5,"씽크포비엘, 국내 첫 기술 기반 인공지능(AI) 검증 실무 교육 실시",2021.05.27.,"▲ 사진제공=씽크포비엘 소프트웨어(SW) 공학 전문기업 씽크포비엘이 국내 최초로 인공지능(AI) 편향과 데이터 샘플링 오류 문제의 기술적 해결 방안을... 씽크포비엘은 지난 25∼26일 경기도 성남 한국정보통신기술협회(TTA)에서 'AI 테스트 교육'을 실시하고, AI 편향을 기술적으로 어떻게 극복할 수 있는지..."
6,"조선대 SW중심대학사업단, 광주시교육청 AI정보영재교육원 SW·AI과정 호응",2021.05.24.,"AI정보영재교육원 SW·인공지능(AI) 과정 프로그램'이 참여자들의 호응을 얻고 있다고 24일 밝혔다. 광주시 AI정보영재교육원 SW·AI 과정 프로그램은... AI이미지학습을 통한 전염병 예방수칙 사전, 화학원소 안내 사전 제작, 정보보안과 시대별 암호화 방법, 언어를 활용한 빅데이터 분석, AI윤리, AI로봇을..."
7,"[의료정보리더스포럼]""의료 분야 클라우드·인공지능 플랫폼 활용 대세됐다""",2021.05.24.,"“코딩을 잘 모르는 의료진도 인공지능(AI)을 연구할 수 있도록 지원합니다.” “클라우드에 라이프로그 데이터, 생체정보·유전체 데이터를 모아... 네이버클라우드는 게임, 교육, 금융, 헬스케어 등 다양한 산업 분야에서 180여개 서비스와 상품을 제공한다. 최근 의료 분야 데이터 중요성이 증가하면서..."
8,"박문여고, 동아리 학생 대상 AI교육 실시…4차산업 대비 미래교육 선도",2021.05.24.,"오늘은 공학 전공을 희망하는 교내 자율동아리 '앤 지니어스' 학생들과 고급 물리학을 수강하는 학생 대상으로 코드위즈를 활용한 인공지능(AI) 교육... 코드닷오알지, 오토드로우, 퀵드로우, 구글 실험실 등을 활용해 AI를 체험했다. 무엇보다 사회적 이슈가 되는 AI 윤리도 생각하는 시간을 가졌다. 다음은 오늘..."
9,"KT, 대구시교육청과 함께 미래 AI 인재양성 나섰다",2021.05.25.,"KT(대표 구현모)가 대구시교육청(교육감 강은희)이 전국 최초로 도입한 인공지능(AI) 프레임워크에 교육기관으로 참여했다. KT는 대구시교육청과... 기획한 AI 교육 프로그램이다. 대구시교육청은 지난 3월 전국 최초로 초·중·고생의 AI 이해, 활용, 윤리 함양 영역별로 이해 정도를 측정할 수 있는 학생..."
