Unnamed: 0,제목,날짜,본문
0,"조희연 ""학년별 AI교육 주력, 스마트기기 중·고교 모두 지급""",2022.08.31.,"학교급별 맞춤형 인공지능(AI) 교육과정도 체계적으로 운영한다. 조희연 서울시교육감은 이날 '다양성이 꽃피는 공존의 혁신미래교육' 비전을 바탕으로... 특히 4차 산업 혁명 등 디지털 시대에 맞춰 AI 교육에 주력한다. AI 이해와 활용을 위해 학교급별 맞춤형 교육과정을 운영·지원하고, 디지털 윤리를..."
1,"IAAE, 서울디지털재단과 <AI 서울포럼 2022> 개최",2022.08.31.,"한 교육과 국제적·사회적 합의 및 가이드라인 구성, 최소한의 규제와 정부의 적극적 지원 등이 이루어져야 한다고 강조했습니다. 중앙대학교 HK+인공지능인문학단 김형주 교수는 칸트(KANT)의 관점으로 AI 윤리 방향을 소개하였으며, 인공지능이 하는 윤리가 아닌 AI를 다루는 시민의 윤리적 함양이..."
2,"엘리스, 한국과학창의재단 '인공지능 교육 디지털 콘텐츠 제작' 사업 수주",2022.08.31.,"있는 인공지능 콘텐츠 개발이 목적이다. 엘리스는 초·중·고교생 대상 코딩 교육 스타트업 '디랩'과 기본 개념과 윤리 교육부터 데이터, 기계학습, 딥러닝에 이르는 심화 단계까지 콘텐츠를 고도화하고 개발해 총 100개에 이르는 AI 교육 콘텐츠를 제작한다. 엘리스는 기업 디지털전환(DX) 교육 경험을 바탕으로..."
3,"IAAE, 서울디지털재단과 'AI 서울포럼 2022' 성황리 개최",2022.08.30.,"한 교육과 국제적·사회적 합의 및 가이드라인 구성, 최소한의 규제와 정부의 적극적 지원 등이 이루어져야 한다고 강조했다. 중앙대학교 HK+인공지능인문학단 김형주 교수는 칸트(KANT)의 관점으로 AI 윤리 방향을 소개하였으며, 인공지능이 하는 윤리가 아닌 AI를 다루는 시민의 윤리적 함양이 필요함을..."
4,"경기교육청, '인공지능 윤리교육' 교재 개발·보급",2022.08.30.,"경기도교육청은 인공지능(AI) 윤리교육을 위한 교재 'AI원리로 배우는 AI윤리'를 개발해 보급했다고 23일 밝혔다. 도내 초·중등 교원 22명이 연구·개발에 참여한 이번 교재에는 초·중등 수업자료 60편과 전문가 기고문이 담겼다. 수업자료의 주요 내용은 인공지능 윤리원칙 수립, 인공지능 오남용 예방..."
5,"서울대 등 국내 주요 대학, 학습윤리 개선하려 LMS 연동형 표절검사 서비스 ‘...",2022.08.30.,"이미지 무하유 제공 자연어를 이해하는 실용 인공지능(AI) 기술 기업 ㈜무하유(대표 신동호)는 국내 주요 대학들이 학습윤리 개선을 위해 자사의... 최근 언택트 교육이 강화되고 있는 가운데 국내 주요 대학들이 학생들의 무분별한 온라인 부정행위를 예방하기 위해 적극 도입하면서, 현재 서울대학교..."
6,"경기도교육청, 인공지능 윤리교육 자료 개발 보급",2022.08.30.,"경기도교육청은 인공지능(AI) 윤리교육 자료인 ‘AI원리로 배우는 AI윤리’를 개발해 일선학교에 보급했다고 24일 밝혔다. 자료는 인공지능에 대한 학생들의 인식을 확대하고 올바른 인공지능 활용 방법 학습을 위해 개발했으며, 도내 초·중등 교원 22명이 연구·개발에 참여했다. 자료에는 초·중등 수업자료..."
7,LG AI 윤리원칙 발표,2022.08.30.,"LG가 AI(인공지능) 기술이 급속히 발전하는 과정에서 발생할 수 있는 윤리적 문제를 사전에 검증하기 위한 인공지능(AI) 윤리 원칙을 발표했다. LG는... 우선 LG그룹의 AI 연구 조직인 LG AI 연구원에 ‘AI윤리점검TF(태스크포스)’를 신설했다. TF는 LG 구성원들을 대상으로 AI 윤리 원칙을 교육하고, AI 연구..."
8,제2 이루다 사태 NO…민관 첫 개별 기업 AI 윤리점검표 나왔다,2022.08.30.,"이 포럼은 AI의 윤리적 개발과 활용을 위한 논의를 촉진하기 위해 지난 2월 처음 출범했다. 산업계를 비롯해 AI, 윤리, 교육, 법제도, 공공 등 다양한... 중요하다""면서 ""AI 기술 수준, 인공지능 윤리 관련 국내외 동향, 이해관계자의 목소리 등을 종합적으로 고려해 현장에서 공감할 수 있는 자율 규제 환경을..."
9,"과기정통부, 3차 AI 윤리포럼 개최",2022.08.23.,"인공지능(AI) 윤리정책 포럼은 AI의 윤리적 개발과 활용 논의를 촉진하기 위해 지난 2월 출범했다. 산업계를 비롯해 교육, 법제도, 공공 등 다양한 분야의 전문가 30명이 제1기 포럼 위원으로 활동 중이다. 이날 포럼에서는 AI 스타트업의 AI 윤리 확보를 위한 자율적인 활동 사례가 공유됐다. AI 챗봇 ‘이루다’..."
10,"LG, 'AI 윤리원칙' 발표…""기술 넘어 고객 삶을 더 가치 있게""",2022.08.24.,LG는 인공지능(AI)을 개발하고 활용하는 구성원들이 지켜야 할 올바른 행동과 가치 판단 기준을 담은 'AI 윤리원칙'을 24일 발표했다. 신뢰할 수 있는... 실행하는 'AI 윤리 점검 TF'도 새로 만들었다. 윤리 점검 TF는 LG 구성원들이 AI 기술의 사회적 책임에 대해 생각하고 고민할 수 있도록 'AI 윤리원칙' 교육을...
11,"[과기정통 뉴스] AI윤리정책 포럼…스캐터랩, 챗봇 윤리점검표 공유 外",2022.08.24.,"제3차 인공지능(AI) 윤리정책 포럼을 개최했다고 밝혔다. 포럼은 AI의 윤리적 개발과 활용을 위한 논의를 촉진하기 위해 지난 2월 출범했다. 산업계를 비롯해 AI, 윤리, 교육, 법제도, 공공 등 다양한 분야의 전문가 30명이 제1기 포럼 위원으로 활동하고 있다. 이날 포럼에서는 AI 챗봇 '이루다'를..."
12,조해진 '인공지능교육진흥법' 제정안 발의,2022.08.24.,"법안은 먼저 '인공지능(AI) 교육'을 △AI 원리, 영향 윤리 등을 이해하는 교육 △AI 활용과 개발 능력 향상 교육 △AI을 활용한 교수·학습·평가와 정책 수립 활동 등으로 정의했다. 이와 함께 △국가나 지방자치단체에 AI 교육 기회 보장, 개인정보 유출 등 역기능 방지, 윤리적 책임, 관련 기관과 협력 책무를 부여..."
13,LG “인간-AI 공존 연구 지속” 5대 가치 담은 윤리원칙 발표,2022.08.24.,LG가 인간존중 등의 5대 핵심 가치를 담은 인공지능(AI) 윤리원칙을 24일 발표했다. ‘LG AI 윤리원칙’은 AI를 개발하고 활용하는 LG의 모든 구성원이... ‘LG AI연구원’은 ‘AI 윤리 점검 TF’를 신설했다. TF에선 LG 구성원들이 AI 기술의 사회적 책임을 생각하고 고민할 수 있도록 AI 윤리원칙 교육을...
14,발전소 짓고 윤리원칙 만들고…가전업계 ESG 경영 속도,2022.08.26.,"29일 가전업계에 따르면 LG는 지난 24일 '인공지능(AI) 윤리원칙'을 발표하면서 ESG 경영 실천의 보폭을 넓히겠다고 강조했다. LG는 'AI 윤리원칙' 5대 핵심... 위해 'AI 윤리 점검 태스크포스(TF)'를 신설했다. 'AI 윤리 점검 TF'는 LG 구성원들의 'AI 윤리원칙' 교육을 진행하고, AI 연구 및 개발 단계에서 발생..."
15,"경기도교육청, 인공지능 윤리교육 자료 개발 보급",2022.08.26.,"경기도교육청(교육감 임태희)이 인공지능(AI) 윤리교육 자료 'AI원리로 배우는 AI윤리'를 개발해 보급했다고 밝혔다. 자료는 인공지능에 대한 학생들의 인식을 확대하고 올바른 인공지능 활용 방법 학습을 위해 개발했으며, 도내 초·중등 교원 22명이 연구·개발에 참여했다. 자료에는 초·중등 수업자료 60편과..."
16,"인간존중·공정성… LG, ‘AI 윤리원칙’ 발표",2022.08.25.,"인공지능 활용 5대 가치 선정 연구원들 윤리점검 TF도 신설 LG가 인간존중 등 5대 핵심 가치를 담은 인공지능(AI) 윤리원칙을 발표했다. 24일 LG에 따르면... LG AI 연구원은 이를 위해 ‘AI 윤리 점검 태스크포스(TF)’를 신설했다. TF는 LG 구성원들을 대상으로 AI 윤리원칙 교육을 진행하며, AI 연구 및 개발..."
17,AI 로봇이 나의 선생님이라면?,2022.08.10.,"교실에 있는 모든 학생이 똑같은 내용을, 똑같은 방식과 속도로 배우는 학교 교육이 막을 내린다. 그 대신에 인공지능(AI), 로봇, 가상현실(VR), 증강현실... AI 로봇에게 고민 상담하는 학생들 교과지식 전달은 사실 교사 역할의 일부다. 지적 호기심을 북돋고 동기를 부여한다. 윤리와 인성을 가르친다. 고민이..."
18,"전남창조혁신센터, '인공지능분야 취업역량강화 프로젝트' 진행",2022.08.30.,"5일 동안 진행된 교육은 '4차 산업혁명과 인공지능 기초이론'을 시작으로 인공지능 전문강사의 'AI 키트를 활용한 실습형 이론 및 실습체험', '인공지능 윤리와 취·창업 컨설팅'이 차례로 진행됐다. 정영준 센터장은 지역창업체험센터 운영을 통해 ""앞으로도 전라남도교육청과 지속적 협업을 통해 4차산업혁명..."
19,"정부, 디지털인재 양성 종합방안 마련...2026년까지 100만 목표",2022.08.22.,AI 융합교육 연수대상도 확대한다. 교직과목 세부이수기준에 디지털 소양 함양 기준도 반영한다. 인공지능교육진흥법과 ‘교육분야 인공지능 윤리기준’을 마련하고 디지털 기반 교수학습 통합 플랫폼과 마이포트폴리오를 구축하는 방안도 추진된다. 이를 위해 디지털 인재양성 정책과 사업 연구를 총괄...
20,미래 혁신형 인재 키우는 상명대...수시모집 1869명 선발,2022.08.22.,"창의성과 융합적 사고 기반의 문제해결 역량을 높이기 위한 교육과정도 수립했다. 전문지식, 창의적 문제해결, 융복합, 다양성 존중, 윤리 실천을 5대 핵심역량으로 설정했다. 일정 기준 이상의 역량을 갖춘 학생은 ‘SM-IN 핵심 역량 인증’을 준다. 이 대학은 인공지능(AI), 반도체, 로봇, 바이오 등 첨단 분야..."
21,"동신대, 정광고 초청 교육‧체험형 메이커프로그램 진행",2022.08.22.,"학생들에게 ▲정보보안 윤리 교육 ▲3D프린터 조립&3D펜 ▲IoE 앱 인벤터 ▲소금으로 움직이는 자동차 ▲블록체인&빅데이터 등의 체험 프로그램을... 이동휘 사업단장은 ""인공지능(AI)과 소프트웨어(SW) 기반의 에너지신산업 창의교육 체험 프로그램을 운영하며 4차산업 맞춤형 미래 직업 체험교육의 기회를..."
22,[2023 수시 입학정보] 한성대학교,2022.08.25.,"융합보안학과는 4차 산업혁명 융합기술의 핵심인 융합보안 분야의 지식과 실무역량 및 윤리의식을 갖춘 전문가 양성을 목표로 해킹, AI보안, 블록체인... "" - 한성대는 창의융합교육에 중점 두고 있다. 특별한 이유는. ""현재 인공지능, 빅데이터, VR·AR, 사물인터넷 등의 정보통신기술과 기존 산업사회 간 융합이..."
23,"무하유, LMS 연동형 표절검사 서비스 ‘CK 브릿지’ 선봬",2022.08.25.,실용 인공지능(AI) 기술 기업 무하유는 8월 25일부터 26일까지 열리는 2022년 대학교육개발센터협의회 하계워크숍에서 학습관리시스템(LMS) 연동형... 또 해당 서비스를 도입한 대학의 학습윤리 강화 사례를 소개할 예정이다. CK 브릿지는 교육기관의 LMS와 연동돼 학생이 제출한 과제물의 표절검사를...
24,"서울사이버대 이성태 교수, '메타버스의 정석 feat. 게더타운' 발간",2022.08.25.,단기 교육과정 개발 사업 '정보보호 분야 종사자를 위한 AI-보안 융합 전문가 과정(7종)' 개발 PM을 맡았다. 또한 K-MOOC에 '인공지능 윤리'라는 과목을 통해 인공지능 시대의 도래에 따른 기술·문화의 순기능과 역기능을 가르치고 있다. 그의 대표 저서로는 △'인공지능 윤리로 갓생살기' △'e-Test...
25,“정확한 평가 없이는 맞춤형 교육 어려워”,2022.08.23.,"AI 기반 다차원 학생 성장 시스템은 인공지능과 빅데이터에 기반해 학생들을 진단하고 학생별 진단 결과에 따라 맞춤형 학습을 지원하는 ‘충북형 교수·학습 통합 플랫폼’이다. 공교육이 신뢰를 회복하려면 에듀테크 기술을 활용해야 한다는 생각이다. 비용과 시간이 들겠지만, 학생들의 다양한 수요와 특성을..."
26,"동신대, 정광고 초청 교육‧체험형 메이커프로그램 진행",2022.08.23.,학생들에게 ▲정보보안 윤리 교육 ▲3D프린터 조립&3D펜 ▲IoE 앱 인벤터 ▲소금으로 움직이는 자동차 ▲블록체인&빅데이터 등의 체험 프로그램을... 이동휘 사업단장은 “인공지능(AI)과 소프트웨어(SW) 기반의 에너지신산업 창의교육 체험 프로그램을 운영하며 4차산업 맞춤형 미래 직업 체험교육의 기회를...
27,"[산업 이모저모] SK텔레콤, 커피 체인점 10개사와 '제로서울' 동참...""일회용...",2022.08.23.,"AI 윤리원칙 수립을 통해 인간과 AI의 공존에 관한 연구를 지속하며 진정한 고객가치를 창출해 나갈 것""이라고 말했다. ㅇ..SK㈜ C&C는 대구에 위치한 경북대학교병원 대강당에서 '2022 의료인공지능 심포지엄'을 개최했다. 이번 행사는 경북대학교병원 및 산하 의료인공지능연구센터, 의료 AI 얼라이언스가..."
28,[오세라비 칼럼] 페미니스트들의 메타버스 세계 성범죄 규정 문제점,2022.08.23.,"게다가 지난해 1월에는 AI, 즉 인공지능의 윤리와 도덕성 논란을 일으킨 '이루다' 사태가 있었다. AI 친구로 불리는 이루다는 20대 여대생 컨셉의 대화형... 여성가족부 산하 한국양성평등교육진흥원은 2019년 무렵부터 디지털성범죄 예방교육에 주력하며 온라인성인지감수성을 강조하는 교육을 시행하고 있다...."
29,"[수시특집] 상명대, 교육 내실화로 미래 혁신형 인재 배출",2022.08.09.,"존중 ▲윤리실천이 이에 해당한다. 교과(전공, 교양), 비교과 교육과정별로 함양 가능한 핵심역량이 설정되어 있으며, 일정 기준 이상의 역량을 갖춘... 상명대는 대학과 기업 내 확보된 인공지능(AI)교육 노하우를 접목한 인공지능(AI) 교육을 운영한다. 상명대는 KT와 함께 실무형 AI․SW 인재를 양성한다...."
30,"한동대, ‘2022 AI 시대의 차세대 기업가정신 훈련 캠프’ 개최",2022.08.09.,"이번 캠프는 지범하 한동대 경영경제학부 교수, 이상화 ICT 창업학부 교수, 임팩티브 AI 파트너 최은창, 강서영 박사 등이 참여해 50여명의 개도국 출신 대학생들을 대상으로 경영, 재무, ICT, 기업 윤리 등의 분야에서 기업가정신 적용을 교육했다. 또한 참가자들은 4박 5일 동안 팀별로 △사업 아이템 계획 및..."
31,임신한 여성 근로자 출산 전 육휴 허용…성별영향평가 52.4% 개선,2022.08.09.,"과학기술정보통신부는 인공지능(AI) 학습용 데이터를 다양한 집단으로부터 균형적으로 수집하도록 데이터셋 구축 안내서를 제공하고 AI 윤리교육 콘텐츠 개발 기준도 마련했다. 인천시는 공동육아시설인 아이사랑꿈터를 토요일에도 운영하고 있으며 일부 시설은 야간운영하고, 아빠 참여 프로그램을..."
32,"연 160억 원 버는 가상인간 릴 미켈라, 이렇게 만들어진다",2022.08.09.,"외형적으로는 3D 기술로 사람의 신체를 구현하고, 내면적으로는 인공지능(AI)을 통해 인간의 사고방식과 표현을 모방한다. 여기에 부드러운 목소리 톤과... 가상인간은 메타버스, 교육, 금융, 쇼핑, 의료, 금융 등 다양한 산업에 활용되고 있다. 최근 소셜미디어와 게임, 엔터테인먼트 산업에서 급부상 중이다...."
33,"LG, 5대 핵심가치 담은 ‘AI 윤리원칙’ 발표… ESG 경영 박차",2022.08.24.,"(제공: LG) ⓒ천지일보 2022.08.24 LG가 24일 인간존중 등 5대 핵심 가치를 담은 인공지능(AI) 윤리원칙을 발표하며 ESG(환경·사회·지배구조) 경영 실천의... LG그룹의 AI 연구 허브인 LG AI 연구원은 ‘AI 윤리 점검 TF’를 신설했다. 이 TF는 LG 구성원들을 대상으로 AI 윤리원칙 교육을 진행하며, AI 연구 및 개발..."
34,"과기정통부, 제3차 인공지능 윤리정책 포럼 개최",2022.08.24.,"산업계를 비롯해 AI, 윤리, 교육, 법제도, 공공 등 다양한 분야의 전문가 30명이 제1기 포럼위원으로 활동하고 있다. 과기정통부는 지난 2월 포럼 출범식에서 민간이 AI 제품·서비스를 기획하고 개발하는 과정에서 윤리 실천 및 신뢰성 검증을 위해 참고할 수 있는 'AI 윤리 자율점검표'와 '신뢰할 수 있는 AI..."
35,"LG ""AI 개발할때 인간존중 등 5대 원칙 지킨다""",2022.08.24.,"LG가 24일 인간존중 등 5대 핵심 가치를 담은 인공지능(AI) 윤리원칙을 발표했다. ‘LG AI 윤리원칙’은 AI를 개발하고 활용하는 LG의 모든 구성원이... LG그룹의 AI 연구 허브인 LG AI 연구원은 ‘AI 윤리 점검 TF’를 신설했다. LG 구성원들을 대상으로 AI 윤리원칙 교육을 진행하며, AI 연구 및 개발 단계에서 발생..."
37,"경기도교육청, AI 원리로 배우는 윤리교육 교재 개발·보급",2022.08.24.,"경기도교육청이 인공지능(AI) 윤리 교육을 위한 'AI 원리로 배우는 AI윤리' 교재를 개발해 보급했다고 23일 밝혔다. 이번 교재는 도내 초·중등 교원 22명이 연구·개발에 참여했으며, 초·중등 수업자료 60편과 전문가 기고문이 담겼다. 주요 내용은 ▲인공지능 윤리원칙 수립 ▲인공지능 오남용 예방..."
39,"""AI가 인간 윤리·도덕 존중하게"" LG, 혐오 표현 찾고·설명할 수 있는 AI 만...",2022.08.24.,초거대 인공지능(AI) '엑사원'에 인터넷 커뮤니티에 달린 실제 댓글을 입력하자 이처럼 '판정'했다. 단어뿐만 아니라 문장의 맥락까지 분석해... TF는 LG의 전 구성원이 AI 기술의 사회적 책임을 개발 단계 전부터 고민할 수 있게 AI 윤리 원칙 교육을 맡는다. 또 AI 연구 개발 단계에서 발생 가능한 윤리적...
40,"경기교육청, 인공지능 윤리교육 자료 개발 보급",2022.08.24.,경기교육청이 인공지능(AI) 윤리교육 자료 'AI원리로 배우는 AI윤리'를 개발해 보급했다고 24일 밝혔다. 이 자료는 인공지능에 대한 학생들의 인식을 확대하고 올바른 인공지능 활용 방법 학습을 위해 개발했으며 도내 초·중등 교원 22명이 연구·개발에 참여했다. 자료에는 초·중등 수업자료 60편과 전문가...
41,"과기정통부, 제3차 AI 윤리정책 토론회 개최",2022.08.23.,"과학기술정보통신부(장관 이종호, 이하 과기정통부)는 인공지능(AI) 윤리를 확산하기 위한 기업의 자율적 활동 방안을 논의하고자 '제3차 AI 윤리정책... 전반에서 AI의 윤리적 개발과 활용을 위한 논의를 촉진하기 위해 올해 2월 처음 출범했다. 산업계 주요 기업들은 물론 AI, 윤리, 교육, 법제도, 공공 등..."
42,"'메타버스 윤리원칙' 초안 공개…""학교 교재, 기업 가이드라인 활용""",2022.08.23.,토론회에는 과기정통부를 비롯해 여성가족부·교육부·외교부·방송통신위원회·경찰청 등 정부 부처와 산업계·법조계·학계·메타버스 유관기관 등 17명의 위원이 참석해 정보통신정책연구원(KISDI)에서 제안한 '메타버스 윤리원칙 초안을 논의했다. 코로나19 확산에 따른 비대면 수요 증가와 인공지능(AI)...
44,"LG, 5대 AI 윤리원칙 발표…연구·개발 단계 윤리문제도 사전 검증",2022.08.25.,"LG그룹이 윤리적인 인공지능(AI) 개발을 위한 5대 원칙을 24일 발표했다. AI를 개발하고 활용하는 그룹 내 모든 구성원이 지켜야 할 원칙으로, '고객을... 세워진 윤리 원칙을 적용하기 위해 'AI 윤리점검 태스크포스(TF)'를 신설했다. AI 윤리점검 TF는 관련 구성원들에 AI 윤리 원칙 교육을 진행하고 연구..."
47,"LG ""기술 넘어 윤리적 AI 개발한다""",2022.08.24.,LG AI 윤리원칙. /사진=LG LG가 인공지능(AI)를 개발하고 활용하는 구성원들이 지켜야 할 올바른 행동과 가치 판단 기준을 담은 AI 윤리원칙을 발표하고... 실행하는 AI 윤리 점검 TF를 신설했다. TF는 LG 모든 구성원들이 AI 기술 사회적 책임에 대해 함께 생각하고 고민할 수 있도록 AI 윤리원칙 교육을...
48,"경기도교육청, 인공지능 활용 윤리 제시...교육 자료 개발 보급",2022.08.24.,"경기도교육청(교육감 임태희)이 인공지능(AI) 윤리교육 자료를 개발해 보급했다고 23일 밝혔다. 자료는 인공지능에 대한 학생들의 인식을 확대하고 올바른 인공지능 활용 방법 학습을 위해 개발했다. 자료는 초·중등 수업자료 60편과 전문가 기고문이 담겼으며, 과학기술정보통신부가 발표한 인공지능 윤리..."
50,'이루다 사태' 막는다… 교육 분야 AI 윤리원칙 첫 제정,2022.08.24.,"인공지능(AI)을 활용한 교육이 활발해지는 가운데 교육 분야의 인공지능 윤리원칙이 처음으로 마련됐다. 교육부는 10일 개발자와 교육 당사자들이 함께 준수해야 할 '교육분야 인공지능 윤리원칙'을 발표했다. 정부 국정 과제에 '100만 디지털 인재 양성', '모두를 인재로 양성하는 학습 혁명' 등이 포함됐고, 이미..."
51,"한동대, ‘인공지능(AI) 시대 차세대 기업가정신 훈련 캠프’ 개최",2022.08.24.,"이번 캠프는 지범하 한동대 경영경제학부 교수, 이상화 ICT 창업학부 교수, 임팩티브 AI 파트너 최은창, 강서영 박사 등이 참여해 50여 명의 개도국 출신 대학생들을 대상으로 경영, 재무, ICT, 기업 윤리 등의 분야에서 기업가정신 적용을 교육했다. 참가자들은 4박 5일 동안 팀별로 △사업 아이템 계획 및 발전..."
52,"국제인공지능&윤리협회-서울디지털재단, AI 등 디지털윤리 분야 협력",2022.08.24.,"서울디지털재단 스마트시티센터에서 열린 이날 업무협약에따라 두 기관은 AI, 메타버스를 비롯한 4차산업 분야의 디지털윤리에 관한 연구와 교육... 전창배 국제인공지능&윤리협회 이사장은 “AI 지능형 도시, 스마트 시티는 결국 AI 기술과 빅데이터를 통해 가능하다. 도시와 시민들이 각 분야에서 생성해..."
53,LG 인공지능 활용을 위해 지켜야 할 5대 핵심가치 ‘AI 윤리원칙’ 발표,2022.08.25.,"LG가 인간존중 등 5대 핵심 가치를 담은 인공지능(AI) 윤리원칙을 발표했다. 24일 LG에 따르면 ‘LG AI 윤리원칙’은 AI를 개발하고 활용하는 LG의 모든... LG AI 연구원은 이를 위해 ‘AI 윤리 점검 태스크포스(TF)’를 신설했다. TF는 LG 구성원들을 대상으로 AI 윤리원칙 교육을 진행하며, AI 연구 및 개발..."
54,"LG, '인간존중'등 5대 핵심가치 담은 'AI 윤리원칙' 발표",2022.08.25.,포쓰저널 서영길 기자 /LG그룹 LG그룹은 신뢰할 수 있는 AI(인공지능)를 개발하기 위해 5대 핵심 가치를 선정하며 'LG AI 윤리원칙'을 발표했다고 24일... AI 윤리 점검 TF'를 신설했다. AI 윤리 점검 TF는 LG의 모든 구성원들이 AI 기술의 사회적 책임에 대해 함께 생각하고 고민할 수 있도록 AI 윤리원칙 교육을...
57,"LG, AI 윤리원칙 발표…5대 원칙 인간존중·공정성·안전성·책임성·투명성",2022.08.24.,LG는 24일 ‘AI(인공지능) 윤리원칙’을 발표했다. LG가 ‘AI 윤리원칙’을 발표한 까닭은 AI 기술이 고도화되고 실증화될수록 고객들의 정보들이... ‘AI 윤리 점검 TF’는 LG의 모든 구성원들이 AI 기술의 사회적 책임에 대해 함께 생각하고 고민할 수 있도록 ‘AI 윤리원칙’ 교육을 진행한다. ‘AI 윤리 점검...
58,[경기교육소식] 특수학교 영어 원어민 강사 지원·인공지능 윤리교육 자료 보...,2022.08.24.,◆인공지능 윤리교육 자료 개발 보급 경기도교육청이 인공지능(AI) 윤리교육 자료 'AI원리로 배우는 AI윤리'를 개발해 보급했다. 인공지능에 대한 학생들의 인식을 확대하고 올바른 인공지능 활용 방법 학습을 위해 개발했으며 도내 초·중등 교원 22명이 연구·개발에 참여했다. 자료에는 초·중등 수업자료 60편과...
61,"태평양, 업무 자동화 위해 AI 솔루션 도입",2022.08.26.,"태평양 관계자는 ""현재는 영문-한글 또는 한글-영문으로만 번역이 가능하지만, 향후 다국어 시스템으로 확장할 방침""이라고 설명했다. [관련 기사]이상직 변호사, AI와 공존의 길 찾다...'나는 인공지능을 변호한다' 출간 [관련 기사]LG, AI 윤리 점검 TF 발족...연구진 대상 윤리원칙 교육 강화"
62,"[AI 주간 브리핑] AI 황금시대, 새 기술 봇물",2022.08.26.,"한 주간 주요 인공지능(AI) 동향을 가 정리해 드립니다. [AI 주간브리핑]을 보시며 주요 AI 이슈를 만나보세요. 본문 내 제목을 클릭하면 자세한 기사... 주요 기업, 연구기관, 정부 동향 LG AI연구원 관련 이미지(사진=셔터스톡, LG AI연구원) LG, AI 윤리 점검 TF 발족...연구진 대상 윤리원칙 교육 강화 LG..."
63,"'교육 공정성과 안전 보장'…교육부, 인공지능 윤리원칙 발표",2022.08.10.,공공성 증진·프라이버시 보호 등 내용…교육현장서 AI 활용 활발 인공지능(AI)을 활용한 교육이 활발해지는 가운데 교육 분야의 인공지능 윤리원칙이 처음으로 만들어졌다. 교육부는 개발자와 교육 당사자들이 함께 준수해야 할 '교육분야 인공지능 윤리원칙'을 10일 발표했다. 인공지능은 현재 교육 분야에서...
65,"인간존중부터 책임·투명성까지...LG, 'AI 윤리원칙' 발표",2022.08.10.,LG가 인공지능(AI)을 개발하고 활용하는 모든 구성원의 가치판단 기준이 되는 'LG AI 윤리원칙'을 24일 발표했다. 이 원칙은 ▲인간존중 ▲공정성... 검토하는 'AI 윤리점검 태스크포스(TF)'를 신설했다. TF는 LG의 모든 구성원들이 AI 기술의 사회적 책임에 대해 함께 생각하고 고민할 수 있도록 관련 교육을...
67,LG 'AI 윤리원칙' 발표...인간존중 등 5대 핵심 가치 제시,2022.08.24.,LG AI 윤리원칙 [사진=LG] LG가 인공지능(AI)를 개발하고 활용하는 LG의 모든 구성원이 지켜야할 'AI 윤리원칙'을 발표했다. 24일 LG는 신뢰할 수 있는 AI를... 'AI 윤리 점검 TF'는 LG의 모든 구성원들이 AI 기술의 사회적 책임에 대해 함께 생각하고 고민할 수 있도록 'AI 윤리원칙' 교육을 진행한다. AI 연구 및...
68,"""메타버스 역기능 해소하는 윤리원칙 수립이 관건""",2022.08.24.,"이번 토론회에는 과기정통부 외에 여성가족부, 교육부, 외교부, 방송통신위원회, 경찰청 등의 정부 부처와 산업계, 법조계, 학계, 메타버스 유관기관 등 17명의 위원이 참석해 정보통신정책연구원(KISDI)에서 제안한 '메타버스 윤리원칙' 초안을 토론했다. 코로나 19로 촉발된 비대면 수요의 급증, 인공지능(AI)..."
71,"LG, 인간존중 등 5대 핵심가치 담은 'AI 윤리원칙' 발표",2022.08.24.,ⓒ 뉴시스 LG는 인공지능(AI)을 개발하고 활용하는 모든 LG 임직원이 지켜야 할 'AI 윤리원칙'을 지난 24일 발표했다. AI 윤리원칙은 신뢰할 수 있는 AI... AI연구원'은 'AI 윤리 점검 TF'를 신설했다. TF는 AI 윤리원칙의 중요성을 알리고 실제 업무에 적용하는 방안을 검토하고 실행한다. 또한 AI 윤리원칙 교육...
76,"LG, 인간존중 등 5대 핵심가치 담은 'AI 윤리 원칙' 발표",2022.08.26.,"com LG가 24일 인간 존중 등 5대 핵심 가치를 담은 인공지능(AI) 윤리 원칙을 발표했다. AI를 개발하고 활용하는 LG 모든 구성원이 지켜야 할 올바른... 특히 AI 연구 허브인 LG AI연구원은 'AI 윤리 점검 TF'를 신설했다. TF는 LG 구성원들을 대상으로 AI 윤리원칙 교육을 진행하며, AI 연구개발 단계에서 발생..."
